SETUP.pg_fuzzystrmatch	SETUP	CREATE EXTENSION IF NOT EXISTS fuzzystrmatch
SETUP.pg_pgcrypto	SETUP	CREATE EXTENSION IF NOT EXISTS pgcrypto
SETUP.pg_trgm	SETUP	CREATE EXTENSION IF NOT EXISTS pg_trgm
CENSUS.version	CENSUS	SELECT version()
CENSUS.sqlitever	CENSUS	SELECT sqlite_version()
CENSUS.fncount	CENSUS	SELECT count(DISTINCT name) FROM pragma_function_list
CENSUS.fnlist00	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 0)
CENSUS.fnlist01	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 22)
CENSUS.fnlist02	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 44)
CENSUS.fnlist03	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 66)
CENSUS.fnlist04	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 88)
CENSUS.fnlist05	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 110)
CENSUS.fnlist06	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 132)
CENSUS.fnlist07	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 154)
CENSUS.fnlist08	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 176)
CENSUS.fnlist09	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 198)
CENSUS.fnlist10	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 220)
CENSUS.fnlist11	CENSUS	SELECT group_concat(n) FROM (SELECT DISTINCT name AS n FROM pragma_function_list ORDER BY name LIMIT 22 OFFSET 242)
CENSUS.mathopt	CENSUS	SELECT sqlite_compileoption_used('ENABLE_MATH_FUNCTIONS')
CENSUS.jsonopt	CENSUS	SELECT sqlite_compileoption_used('ENABLE_JSON1')
CENSUS.loadext	CENSUS	SELECT load_extension('nonexistent_xyz')
