# BATCH 5 — session config, VALUES naming, variant/fold, sourceUrl, remaining SqlFn
setup.arrtab	setup	CREATE TABLE arrtab (id INTEGER, arr VARCHAR(200))
setup.arrins	setup	INSERT INTO arrtab VALUES (1,'[10,20,30]'), (2,'[40]'), (3,'[]')
setup.jsontab	setup	CREATE TABLE jsontab (id INTEGER, doc JSON)
setup.jsonins	setup	INSERT INTO jsontab VALUES (1,'{"a":1,"b":[1,2,3]}'), (2,'{"a":2,"b":[]}')
# ---- VALUES column naming
vn.meta	values	SELECT GROUP_CONCAT(COLUMN_NAME) FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME='emp'
vn.byname	values	SELECT `1` FROM (VALUES (1,2)) AS t
vn.bystar	values	SELECT COUNT(*) FROM (VALUES (1,2),(3,4)) AS t
vn.derived	values	SELECT a+b FROM (SELECT 1 a, 2 b UNION ALL SELECT 3,4) t WHERE a=1
vn.tvcunion	values	SELECT COUNT(*) FROM (VALUES (1),(2) UNION VALUES (3)) t
# ---- session config: the legend-lite candidate sql_mode
cfg.set	cfg	SET SESSION sql_mode = 'PIPES_AS_CONCAT,ANSI_QUOTES,NO_BACKSLASH_ESCAPES,STRICT_TRANS_TABLES,ONLY_FULL_GROUP_BY,NO_ENGINE_SUBSTITUTION,NO_ZERO_DATE,NO_ZERO_IN_DATE,ERROR_FOR_DIVISION_BY_ZERO'
cfg.pipes	cfg	SELECT 'a' || 'b'
cfg.dqident	cfg	SELECT "id" FROM emp LIMIT 1
cfg.backslash	cfg	SELECT LENGTH('a\nb')
cfg.groupby	cfg	SELECT name, COUNT(*) FROM emp
cfg.castbad	cfg	SELECT CAST('abc' AS SIGNED)
cfg.divzero	cfg	SELECT 1/0
cfg.strcmp	cfg	SELECT 'a'='A'
cfg.collset	cfg	SET SESSION collation_connection = 'utf8mb4_bin'
cfg.strcmp2	cfg	SELECT 'a'='A'
cfg.pad	cfg	SELECT 'a '='a'
cfg.collnopad	cfg	SET SESSION collation_connection = 'utf8mb4_nopad_bin'
cfg.pad2	cfg	SELECT 'a '='a'
cfg.strcmp3	cfg	SELECT 'a'='A'
cfg.colcmp	cfg	SELECT COUNT(*) FROM emp WHERE name = 'ALICE'
cfg.tzset	cfg	SET SESSION time_zone = '+00:00'
cfg.tzread	cfg	SELECT @@session.time_zone
cfg.reset	cfg	SET SESSION sql_mode = 'STRICT_TRANS_TABLES,ERROR_FOR_DIVISION_BY_ZERO,NO_ENGINE_SUBSTITUTION'
cfg.collreset	cfg	SET SESSION collation_connection = 'utf8mb4_general_ci'
# ---- TO_VARIANT / TYPEOF / IS_DISTINCT
v.tovariant1	variant	SELECT JSON_COMPACT(JSON_QUOTE('abc'))
v.tovariant2	variant	SELECT JSON_EXTRACT(CONCAT('[', 5, ']'), '$[0]')
v.tovariant3	variant	SELECT JSON_QUERY(JSON_ARRAY(5),'$[0]')
v.tovariant4	variant	SELECT JSON_VALUE(JSON_ARRAY(5),'$[0]')
v.tovariantstr	variant	SELECT JSON_QUOTE(name) FROM emp WHERE id=1
v.tovariantnum	variant	SELECT CAST(sal AS CHAR) FROM emp WHERE id=1
v.typeof	variant	SELECT JSON_TYPE(JSON_QUOTE('x'))
v.typeofcol	variant	SELECT DATA_TYPE FROM INFORMATION_SCHEMA.COLUMNS WHERE TABLE_NAME='emp' AND COLUMN_NAME='sal' AND TABLE_SCHEMA='probe'
v.isdistinct	variant	SELECT 1 IS DISTINCT FROM NULL
v.nullsafeeq	variant	SELECT NOT (1 <=> NULL)
v.nullsafeeq2	variant	SELECT NULL <=> NULL
v.variantget	variant	SELECT JSON_EXTRACT(doc,'$.a') FROM jsontab WHERE id=1
v.variantgetidx	variant	SELECT JSON_EXTRACT(doc,'$.b[1]') FROM jsontab WHERE id=1
v.variantelems	variant	SELECT COUNT(*) FROM jsontab t, JSON_TABLE(t.doc,'$.b[*]' COLUMNS (v INT PATH '$')) jt WHERE t.id=1
v.varianttext	variant	SELECT JSON_UNQUOTE(JSON_EXTRACT('{"a":"x"}','$.a'))
# ---- sourceUrl(data:) — JSON literal to rows
su.data	sourceurl	SELECT COUNT(*) FROM JSON_TABLE('[{"a":1},{"a":2}]','$[*]' COLUMNS (data JSON PATH '$')) jt
su.data2	sourceurl	SELECT data FROM JSON_TABLE('[{"a":1},{"a":2}]','$[*]' COLUMNS (data JSON PATH '$')) jt LIMIT 1
su.datacols	sourceurl	SELECT SUM(a) FROM JSON_TABLE('[{"a":1},{"a":2}]','$[*]' COLUMNS (a INT PATH '$.a')) jt
su.file	sourceurl	SELECT COUNT(*) FROM JSON_TABLE(LOAD_FILE('/nonexistent.json'),'$[*]' COLUMNS (a INT PATH '$.a')) jt
# ---- FoldCall — generic fold over a JSON array via recursive CTE
fd.fold	fold	WITH RECURSIVE e AS (SELECT 0 AS n, CAST(JSON_EXTRACT('[1,2,3]','$[0]') AS SIGNED) AS acc UNION ALL SELECT n+1, acc*10 + CAST(JSON_EXTRACT('[1,2,3]', CONCAT('$[',n+1,']')) AS SIGNED) FROM e WHERE n+1 < JSON_LENGTH('[1,2,3]')) SELECT acc FROM e ORDER BY n DESC LIMIT 1
fd.foldinit	fold	WITH RECURSIVE e AS (SELECT 0 AS n, 100 AS acc UNION ALL SELECT n+1, acc + CAST(JSON_EXTRACT('[1,2,3]', CONCAT('$[',n,']')) AS SIGNED) FROM e WHERE n < JSON_LENGTH('[1,2,3]')) SELECT MAX(acc) FROM e
fd.foldcorr	fold	WITH RECURSIVE e AS (SELECT id, arr, 0 AS n, 0 AS acc FROM arrtab UNION ALL SELECT id, arr, n+1, acc + CAST(JSON_EXTRACT(arr, CONCAT('$[',n,']')) AS SIGNED) FROM e WHERE n < JSON_LENGTH(arr)) SELECT GROUP_CONCAT(CONCAT(id,':',acc) ORDER BY id) FROM e WHERE n = JSON_LENGTH(arr)
# ---- MEDIAN / PERCENTILE under GROUP BY (not just OVER)
pg.median	agg	SELECT MEDIAN(sal) FROM emp
pg.medianover	agg	SELECT DISTINCT MEDIAN(sal) OVER () FROM emp
pg.mediangrp	agg	SELECT dept_id, MEDIAN(sal) OVER (PARTITION BY dept_id) FROM emp LIMIT 1
pg.pctcont	agg	SELECT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY sal) FROM emp
pg.pctcontover	agg	SELECT DISTINCT PERCENTILE_CONT(0.5) WITHIN GROUP (ORDER BY sal) OVER () FROM emp
pg.mediansub	agg	SELECT AVG(sal) FROM (SELECT sal, ROW_NUMBER() OVER (ORDER BY sal) rn, COUNT(*) OVER () c FROM emp WHERE sal IS NOT NULL) x WHERE rn IN (FLOOR((c+1)/2), CEIL((c+1)/2))
# ---- JSON_TABLE edge cases
je.nulldoc	explode	SELECT COUNT(*) FROM (SELECT CAST(NULL AS CHAR) a) t, JSON_TABLE(t.a,'$[*]' COLUMNS (v INT PATH '$')) jt
je.nulldocleft	explode	SELECT COUNT(*) FROM (SELECT CAST(NULL AS CHAR) a) t LEFT JOIN JSON_TABLE(COALESCE(t.a,'[]'),'$[*]' COLUMNS (v INT PATH '$')) jt ON TRUE
