X.leftstr1	LEFT	SELECT leftstr('abcdef',3)
X.leftstr2	LEFT	SELECT leftstr('abc',10)
X.leftstr3	LEFT	SELECT leftstr('abcdef',-2) || '|'
X.leftstr4	LEFT	SELECT leftstr('abc',0) || '|'
X.leftstr5	LEFT	SELECT leftstr('日本語abc',2)
X.leftstr6	LEFT	SELECT leftstr(NULL,2)
X.rightstr1	RIGHT	SELECT rightstr('abcdef',3)
X.rightstr2	RIGHT	SELECT rightstr('abc',10)
X.rightstr3	RIGHT	SELECT rightstr('abc',0) || '|'
X.rightstr4	RIGHT	SELECT rightstr('abcdef',-2) || '|'
X.rightstr5	RIGHT	SELECT rightstr('abc日本語',2)
X.rightstr6	RIGHT	SELECT rightstr(NULL,2)
X.padl1	LPAD	SELECT padl('ab',5) || '|'
X.padl2	LPAD	SELECT padl('abcdef',3) || '|'
X.padl3	LPAD	SELECT padl('ab',5,'*')
X.padl4	LPAD	SELECT padl('日本',5) || '|'
X.padl5	LPAD	SELECT padl(NULL,5)
X.padr1	RPAD	SELECT padr('ab',5) || '|'
X.padr2	RPAD	SELECT padr('abcdef',3) || '|'
X.padr3	RPAD	SELECT padr('ab',5,'*')
X.padc1	RPAD	SELECT padc('ab',6) || '|'
X.repl1	REPEAT_STR	SELECT replicate('ab',3)
X.repl2	REPEAT_STR	SELECT replicate('ab',0) || '|'
X.repl3	REPEAT_STR	SELECT replicate('ab',-1) || '|'
X.repl4	REPEAT_STR	SELECT replicate(NULL,3)
X.repl5	REPEAT_STR	SELECT length(replicate('日',3))
X.rev1	REVERSE_STRING	SELECT reverse('abc')
X.rev2	REVERSE_STRING	SELECT reverse('héllo')
X.rev3	REVERSE_STRING	SELECT reverse('日本語')
X.rev4	REVERSE_STRING	SELECT reverse(NULL)
X.rev5	REVERSE_STRING	SELECT reverse('') || '|'
X.rev6	REVERSE_STRING	SELECT reverse(e.name) FROM emp e WHERE e.id=1
X.ci1	STRPOS	SELECT charindex('cd','abcdef')
X.ci2	STRPOS	SELECT charindex('abcdef','cd')
X.ci3	STRPOS	SELECT charindex('zz','abcdef')
X.ci4	STRPOS	SELECT charindex('','abcdef')
X.ci5	STRPOS	SELECT charindex('c','abcabc',4)
X.ci6	STRPOS	SELECT charindex('llo','héllo')
X.prop1	UC_FIRST	SELECT proper('hello')
X.prop2	UC_FIRST	SELECT proper('hello world')
X.prop3	UC_FIRST	SELECT proper('HELLO WORLD')
X.prop4	UC_FIRST	SELECT proper('éa')
X.sf1	MISC	SELECT strfilter('abcdef','ace')
X.diff1	LEVENSHTEIN	SELECT difference('kitten','sitting')
X.hex1	MISC	SELECT hex('abc')
X.hex2	MISC	SELECT unhex('616263')
X.hex3	MISC	SELECT typeof(unhex('616263'))
X.hex4	MISC	SELECT CAST(unhex('616263') AS TEXT)
X.hex5	MISC	SELECT hex(CAST('héllo' AS BLOB))
X.rx1	MATCHES	SELECT 1 WHERE 'abc123' REGEXP '[0-9]+'
X.rx2	MATCHES	SELECT regexp('[0-9]+','abc123')
X.rx3	MATCHES	SELECT count(*) FROM pragma_function_list WHERE name='regexp'
X.rx4	MATCHES	SELECT count(*) FROM pragma_function_list WHERE name IN ('md5','sha1','sha256','sha3','base64','uuid','levenshtein','editdist3','split_part','ascii','chr','lpad','rpad','left','right','repeat','starts_with','ends_with','initcap','greatest','least','regexp')
X.rx5	MATCHES	SELECT sqlite_compileoption_used('ENABLE_SOUNDEX')
X.rx6	MATCHES	SELECT group_concat(name) FROM pragma_function_list WHERE narg=3
X.gr1	GREATEST	SELECT max(1,NULL,3)
X.gr2	GREATEST	SELECT typeof(max(1,NULL,3))
X.gr3	GREATEST	SELECT max('a',2)
X.gr4	GREATEST	SELECT min('a',2)
X.gr5	GREATEST	SELECT max(1,2.5)
